title,company,location,description,requirements,duration,type,stipend,apply_link
Software Engineer Intern,Ramirez-Russell,Remote,Work on cutting-edge software projects with a dynamic team.,"{""Creativity"", ""Team Collaboration"", ""Content Writing""}",6 months,Paid,"20,000 PKR",https://example.com/paid/apply-1
Data Analyst Intern,Jones-Elliott,"Islamabad, Pakistan",Analyze market trends and data to support business decisions.,"{""Creativity"", ""Problem-solving"", ""Excel""}",2 months,Paid,"20,000 PKR",https://example.com/paid/apply-2
Graphic Design Intern,Cox LLC,"Lahore, Pakistan",Create compelling marketing content and strategies.,"{""Problem-solving"", ""Python"", ""Content Writing""}",6 months,Paid,"20,000 PKR",https://example.com/paid/apply-3
Software Engineer Intern,Garcia PLC,"Lahore, Pakistan",Assist product managers in research and documentation.,"{""Problem-solving"", ""Communication Skills"", ""Java""}",2 months,Paid,"25,000 PKR",https://example.com/paid/apply-4
Marketing Intern,"Branch, Pace and Larson","Karachi, Pakistan",Work on cutting-edge software projects with a dynamic team.,"{""SEO"", ""Problem-solving"", ""Team Collaboration""}",3 months,Paid,"25,000 PKR",https://example.com/paid/apply-5
Software Engineer Intern,"Saunders, Anderson and Ferguson","Islamabad, Pakistan",Analyze market trends and data to support business decisions.,"{""Excel"", ""Python"", ""Problem-solving""}",6 months,Paid,"25,000 PKR",https://example.com/paid/apply-6
Product Management Intern,"Smith, Foley and Anderson","Lahore, Pakistan",Create compelling marketing content and strategies.,"{""Excel"", ""Creativity"", ""SEO""}",2 months,Paid,"20,000 PKR",https://example.com/paid/apply-7
Marketing Intern,"Henderson, Jimenez and Curry","Islamabad, Pakistan",Design visual assets for various marketing campaigns.,"{""Excel"", ""Python"", ""Adobe Photoshop""}",6 months,Paid,"25,000 PKR",https://example.com/paid/apply-8
Software Engineer Intern,Hubbard-Higgins,"Lahore, Pakistan",Work on cutting-edge software projects with a dynamic team.,"{""Adobe Photoshop"", ""Content Writing"", ""Team Collaboration""}",6 months,Paid,"20,000 PKR",https://example.com/paid/apply-9
Data Analyst Intern,May-Carter,Remote,Analyze market trends and data to support business decisions.,"{""Problem-solving"", ""Team Collaboration"", ""SEO""}",2 months,Paid,"25,000 PKR",https://example.com/paid/apply-10
Graphic Design Intern,Andrews Inc,"Karachi, Pakistan",Assist product managers in research and documentation.,"{""Content Writing"", ""Java"", ""Excel""}",3 months,Paid,"25,000 PKR",https://example.com/paid/apply-11
Graphic Design Intern,Martinez-Melendez,Remote,Analyze market trends and data to support business decisions.,"{""Creativity"", ""Java"", ""Communication Skills""}",2 months,Paid,"20,000 PKR",https://example.com/paid/apply-12
Marketing Intern,"Howard, Wolfe and Smith","Karachi, Pakistan",Design visual assets for various marketing campaigns.,"{""Creativity"", ""Python"", ""Content Writing""}",3 months,Paid,"25,000 PKR",https://example.com/paid/apply-13
Software Engineer Intern,Barber Ltd,"Lahore, Pakistan",Assist product managers in research and documentation.,"{""SEO"", ""Creativity"", ""Team Collaboration""}",6 months,Paid,"25,000 PKR",https://example.com/paid/apply-14
Software Engineer Intern,"Ochoa, Pratt and Mcconnell","Lahore, Pakistan",Analyze market trends and data to support business decisions.,"{""Java"", ""Adobe Photoshop"", ""Team Collaboration""}",6 months,Paid,"25,000 PKR",https://example.com/paid/apply-15
Marketing Intern,"Jackson, Johnson and Mitchell",Remote,Design visual assets for various marketing campaigns.,"{""Communication Skills"", ""Java"", ""Excel""}",6 months,Paid,"20,000 PKR",https://example.com/paid/apply-16
Marketing Intern,Garcia-Hernandez,"Lahore, Pakistan",Analyze market trends and data to support business decisions.,"{""Excel"", ""Problem-solving"", ""SEO""}",2 months,Paid,"20,000 PKR",https://example.com/paid/apply-17
Product Management Intern,Miles-Parker,Remote,Create compelling marketing content and strategies.,"{""Adobe Photoshop"", ""SEO"", ""Python""}",2 months,Paid,"20,000 PKR",https://example.com/paid/apply-18
Product Management Intern,"Black, Coleman and Martin","Lahore, Pakistan",Create compelling marketing content and strategies.,"{""SEO"", ""Python"", ""Creativity""}",2 months,Paid,"25,000 PKR",https://example.com/paid/apply-19
Data Analyst Intern,Maxwell-Hamilton,"Lahore, Pakistan",Work on cutting-edge software projects with a dynamic team.,"{""Adobe Photoshop"", ""Creativity"", ""Problem-solving""}",3 months,Paid,"25,000 PKR",https://example.com/paid/apply-20
